Entry_Date,Exit_Date,Regime,Lots,CE_Entry,PE_Entry,Straddle_Entry,CE_Exit,PE_Exit,Straddle_Exit,Gross_PnL,Taxes,Slippage_Cost,Net_PnL,Equity,Reason,Peak,Drawdown_Pct
2023-05-30 14:15:00,2023-05-30 14:30:00,YELLOW,2,51.85,68.45,120.36,76.61,64.72,141.33,2725.99,85.64,17.01,2640.35,508216.43,TARGET,508216.43,0.0
2023-05-30 14:50:00,2023-05-30 15:04:00,GREEN,4,54.35,62.75,117.16,75.76,63.42,139.18,5725.67,122.71,33.32,5602.97,513819.4,TARGET,513819.4,0.0
2023-05-31 13:05:00,2023-05-31 13:35:00,YELLOW,2,59.1,51.75,110.91,66.87,44.23,111.09,24.57,78.67,14.43,-54.1,513765.3,TIME_OUT,513819.4,0.01
2023-06-02 10:05:00,2023-06-02 10:35:00,GREEN,2,102.0,93.8,195.9,111.89,81.66,193.55,-304.81,102.23,25.31,-407.05,513358.25,TIME_OUT,513819.4,0.09
2023-06-02 10:40:00,2023-06-02 11:10:00,GREEN,2,116.35,75.7,192.15,120.89,70.91,191.8,-44.46,101.58,24.96,-146.04,513212.21,TIME_OUT,513819.4,0.12
2023-06-02 11:20:00,2023-06-02 11:50:00,GREEN,2,122.0,69.8,191.9,98.95,81.76,180.71,-1454.22,99.27,24.22,-1553.49,511658.72,TIME_OUT,513819.4,0.42
2023-06-02 12:10:00,2023-06-02 12:40:00,GREEN,2,102.5,79.25,181.84,101.95,78.06,180.01,-238.02,98.36,23.52,-336.38,511322.34,TIME_OUT,513819.4,0.49
2023-06-02 12:45:00,2023-06-02 13:15:00,GREEN,2,99.65,80.6,180.34,105.95,70.66,176.61,-484.7,97.54,23.2,-582.24,510740.11,TIME_OUT,513819.4,0.6
2023-06-02 13:20:00,2023-06-02 13:50:00,GREEN,2,108.5,68.15,176.74,117.99,60.82,178.81,269.39,97.72,23.11,171.67,510911.78,TIME_OUT,513819.4,0.57
2023-06-02 13:55:00,2023-06-02 14:25:00,GREEN,2,112.2,65.2,177.49,113.29,83.16,196.45,2465.19,101.42,24.31,2363.77,513275.55,TIME_OUT,513819.4,0.11
2023-06-02 14:55:00,2023-06-02 15:10:00,GREEN,2,118.7,62.4,181.19,105.9,61.47,167.37,-1797.16,95.69,22.66,-1892.85,511382.7,EOD,513819.4,0.47
2023-06-05 10:10:00,2023-06-05 10:24:00,GREEN,3,96.9,55.2,152.18,101.75,69.27,171.01,3673.49,117.73,31.51,3555.76,514938.46,TARGET,514938.46,0.0
2023-06-05 10:25:00,2023-06-05 10:55:00,GREEN,3,74.3,70.4,144.77,98.65,52.27,150.92,1199.67,110.65,28.83,1089.02,516027.48,TIME_OUT,516027.48,0.0
2023-06-05 11:00:00,2023-06-05 11:30:00,GREEN,3,99.65,51.6,151.33,72.26,71.71,143.98,-1432.79,109.25,28.79,-1542.04,514485.44,TIME_OUT,516027.48,0.3
2023-06-05 12:05:00,2023-06-05 12:12:00,YELLOW,1,98.25,50.9,149.22,99.55,68.82,168.37,1244.18,70.32,10.32,1173.85,515659.29,TARGET,516027.48,0.07
2023-06-05 12:45:00,2023-06-05 13:15:00,YELLOW,1,92.55,53.45,146.07,88.71,56.47,145.18,-58.22,67.81,9.47,-126.02,515533.27,TIME_OUT,516027.48,0.1
2023-06-05 13:20:00,2023-06-05 13:50:00,YELLOW,1,94.2,51.35,145.62,91.7,52.77,144.48,-74.43,67.72,9.43,-142.14,515391.13,TIME_OUT,516027.48,0.12
2023-06-05 14:35:00,2023-06-05 15:05:00,YELLOW,1,92.7,50.2,142.97,77.96,58.22,136.18,-441.32,66.76,9.07,-508.08,514883.05,TIME_OUT,516027.48,0.22
2023-06-06 13:00:00,2023-06-06 13:30:00,YELLOW,2,74.0,46.8,120.86,72.26,48.23,120.49,-48.19,81.38,15.69,-129.56,514753.48,TIME_OUT,516027.48,0.25
2023-06-06 13:40:00,2023-06-06 14:10:00,YELLOW,2,70.25,49.15,119.46,65.37,53.12,118.49,-125.97,80.85,15.47,-206.82,514546.66,TIME_OUT,516027.48,0.29
2023-06-06 14:40:00,2023-06-06 15:10:00,YELLOW,2,66.2,49.9,116.16,55.37,48.63,104.0,-1580.81,77.61,14.31,-1658.42,512888.25,TIME_OUT,516027.48,0.61
2023-06-07 10:10:00,2023-06-07 10:40:00,YELLOW,2,50.1,40.0,90.15,50.77,39.78,90.55,53.25,72.83,11.75,-19.58,512868.67,TIME_OUT,516027.48,0.61
2023-06-07 10:50:00,2023-06-07 11:20:00,YELLOW,2,45.55,42.15,87.74,51.57,38.73,90.3,332.93,72.6,11.57,260.33,513129.0,TIME_OUT,516027.48,0.56
2023-06-07 11:35:00,2023-06-07 12:05:00,YELLOW,2,47.55,39.2,86.79,54.37,34.78,89.16,307.06,72.29,11.44,234.78,513363.78,TIME_OUT,516027.48,0.52
2023-06-07 12:55:00,2023-06-07 13:25:00,YELLOW,2,42.35,49.1,91.5,40.13,51.37,91.5,1.1,73.13,11.89,-72.03,513291.75,TIME_OUT,516027.48,0.53
2023-06-07 13:50:00,2023-06-07 14:20:00,YELLOW,2,67.5,28.75,96.3,52.02,48.83,100.85,591.69,75.43,12.81,516.25,513808.01,TIME_OUT,516027.48,0.43
2023-06-09 10:05:00,2023-06-09 10:29:00,GREEN,3,104.9,66.9,171.89,107.2,88.06,195.25,4556.45,127.51,35.8,4428.94,518236.94,TARGET,518236.94,0.0
2023-06-09 10:30:00,2023-06-09 11:00:00,GREEN,2,108.15,70.8,179.04,100.8,90.1,190.9,1542.45,100.39,24.05,1442.06,519679.01,TIME_OUT,519679.01,0.0
2023-06-09 11:05:00,2023-06-09 11:35:00,GREEN,2,100.4,77.35,177.84,108.25,67.07,175.31,-328.45,97.08,22.95,-425.53,519253.47,TIME_OUT,519679.01,0.08
2023-06-09 11:40:00,2023-06-09 12:10:00,GREEN,3,108.15,67.05,175.29,86.76,84.91,171.66,-706.58,120.59,33.83,-827.17,518426.3,TIME_OUT,519679.01,0.24
2023-06-09 12:15:00,2023-06-09 12:45:00,GREEN,3,85.35,82.3,167.73,100.15,73.56,173.71,1165.96,120.36,33.29,1045.6,519471.91,TIME_OUT,519679.01,0.04
2023-06-09 13:35:00,2023-06-09 14:05:00,GREEN,3,91.9,79.2,171.19,83.41,85.76,169.17,-393.93,119.34,33.18,-513.28,518958.63,TIME_OUT,519679.01,0.14
2023-06-09 14:30:00,2023-06-09 14:59:00,GREEN,3,109.3,64.75,174.14,114.34,80.91,195.25,4117.48,127.77,36.02,3989.71,522948.34,TARGET,522948.34,0.0
2023-06-09 15:00:00,2023-06-09 15:10:00,GREEN,3,107.8,65.4,173.29,108.1,63.12,171.21,-404.09,120.22,33.59,-524.31,522424.03,EOD,522948.34,0.1
2023-06-12 10:05:00,2023-06-12 10:11:00,GREEN,3,75.05,76.75,151.88,102.05,78.81,180.86,5651.81,120.75,32.44,5531.06,527955.09,TARGET,527955.09,0.0
2023-06-12 10:15:00,2023-06-12 10:45:00,GREEN,3,77.0,74.35,151.43,89.71,64.42,154.12,525.96,112.41,29.79,413.55,528368.64,TIME_OUT,528368.64,0.0
2023-06-12 11:05:00,2023-06-12 11:35:00,YELLOW,1,94.9,59.5,154.48,94.2,58.37,152.57,-123.73,68.89,9.98,-192.62,528176.02,TIME_OUT,528368.64,0.04
